,1990,1995,2000,2005,2010,2015,2020
Belize,16.2,16.2,14.8,14.6,14.4,15.1,15.6
Costa Rica,13.4,10.3,7.8,8.4,8.9,8.5,10.2
El Salvador,0.9,0.7,0.5,0.6,0.7,0.7,0.7
Guatemala,2.9,1.5,0.4,0.4,0.5,0.5,0.5
Honduras,5.5,2.6,0.4,0.4,0.3,0.4,0.4
Mexico,0.8,0.5,0.5,0.7,0.8,0.8,0.9
Nicaragua,1,0.6,0.6,0.6,0.6,0.6,0.6
Panama,2.5,2.6,2.8,3.3,4.3,4.7,7.3
Argentina,5.1,4.6,4.2,4.3,4.4,4.8,5
Bolivia (Plurinational State of),1.1,1.1,1.1,1.2,1.2,1.3,1.4
Brazil,0.5,0.5,0.4,0.3,0.3,0.3,0.5
Chile,0.8,1,1.2,1.7,2.2,3.6,8.6
Colombia,0.3,0.3,0.3,0.2,0.3,0.3,3.7
Ecuador,0.8,1,1.2,1.4,2.5,2.4,4.4
Falkland Islands (Malvinas),43.2,34.7,36.9,39.5,49.5,55.4,56.2
French Guiana,54.9,51,47,42.6,41.3,40.7,39.9
Guyana,0.6,0.8,1.2,1.5,1.1,1.1,4
Paraguay,4.6,3.9,3.3,2.9,2.6,2.3,2.4
Peru,0.3,0.2,0.3,0.3,0.4,0.5,3.7
Suriname,4.5,5.1,5.8,6.7,7.5,7.7,8.1
Uruguay,3.2,2.9,2.7,2.5,2.3,2.3,3.1
Venezuela (Bolivarian Republic of),5.2,4.7,4.2,4.1,4.7,4.7,4.7
Bermuda,25.4,26.3,27.2,27.3,28.4,30.2,31.7
Canada,15.7,16.7,18,18.9,19.8,20.6,21.3
Greenland,16.7,12.8,11.8,11.5,10.8,10.7,10.4
Saint Pierre and Miquelon,17.2,20.7,23.2,18.8,16,16.5,17.2
United States of America,9.2,10.7,12.4,13.3,14.3,15,15.3
Australia,23.3,23.1,23.1,24.2,26.6,28.1,30.1
New Zealand,15.2,16,17.6,20.3,21.7,22.5,28.7
Fiji,1.8,1.7,1.6,1.5,1.6,1.6,1.6
New Caledonia,22.1,22.6,22.9,23.4,24.1,25.4,25.6
Papua New Guinea,0.7,0.6,0.4,0.5,0.4,0.4,0.3
Solomon Islands,1.4,1.2,1,0.7,0.5,0.4,0.4
Vanuatu,1.6,1.5,1.4,1.3,1.3,1.2,1.1
Guam,53.5,49.4,47.7,47.2,47.3,47,47.7
Kiribati,3,2.9,2.7,2.7,2.8,2.6,2.6
Marshall Islands,2.5,2.9,3.7,4.4,5.5,5.7,5.6
Micronesia (Fed. States of),3.8,3.1,2.9,2.7,2.7,2.5,2.5
Nauru,29.6,24.5,23.2,22.9,9.1,17.7,20.3
Northern Mariana Islands,58.1,70.6,69.8,66.4,44.8,38.8,38
Palau,18.6,27.7,33,30.5,30.6,27.9,28.1
American Samoa,44.9,43.5,43.1,40.7,42,42.1,42.8
Cook Islands,14.2,14.1,15.5,17.2,20.5,23.7,26.1
French Polynesia,12.9,13,12.6,12.5,11.9,11,10.7
Niue,19.8,22.2,26.2,30.9,36.3,36.5,36.3
Samoa,2.1,2.8,3.4,3.2,2.8,2.2,2
Tokelau,22.4,33.6,45.9,82.7,99.9,95,91.7
Tonga,3.1,3.4,3.8,4.3,4.4,3.9,3.5
Tuvalu,3.6,2.8,2.3,2.1,2.1,2.1,2
Wallis and Futuna Islands,10.2,12,13.7,14.7,16.6,16.7,18.1
