,Homosexuality,Gay Marriage,Censorship,Changing Gender,Gender-Affirming Care,Non-Binary Gender Recognition,Discrimination,Employment Discrimination,Housing Discrimination,Adoption,Intersex Infant Surgery,Military,Donating Blood,Conversion Therapy,Age of Consent
angola,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires medical diagnosis",✖ Restricted,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
benin,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,"✖ Legal, but banned for minors",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✖ Unequal
botswana,✔ Legal,✖ Unrecognized,✔ No censorship,"✔ Legal, no restrictions",✖ Restricted,✖ Not legally recognized,✔ Illegal,✖ Sexual orientation only,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
burkina-faso,✔ Legal,✖ Banned,✔ No censorship,✖ Illegal,"✖ Legal, but banned for minors",✖ Not legally recognized,Unknown,Unknown,Ambiguous,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
cape-verde,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ Sexual orientation only,✖ Single only,Unknown,Ambiguous,Ambiguous,✖ Not banned,✔ Equal
central-african-republic,✔ Legal,✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,Ambiguous,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
cote-divoire,✔ Legal,✖ Unrecognized,Ambiguous,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Don't Ask, Don't Tell",✖ Banned (indefinite deferral),✖ Not banned,✖ Unequal
democratic-republic-of-the-congo,✔ Legal,✖ Banned,Ambiguous,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,✔ Equal
djibouti,✔ Legal,✖ Unrecognized,✖ State-enforced,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,Unknown,Ambiguous,✖ Not banned,✔ Equal
equatorial-guinea,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
gabon,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,Ambiguous,✖ Not legally recognized,✖ No protections,✖ No protections,Ambiguous,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✖ Unequal
guinea-bissau,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,"✖ Legal, but banned for minors",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
lesotho,✔ Legal,✖ Unrecognized,✔ No censorship,Ambiguous,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
madagascar,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✖ Unequal
mauritius,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ Sexual orientation only,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,✔ Equal
mozambique,✔ Legal,✖ Unrecognized,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
niger,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,Ambiguous,✔ Legal,✖ Not banned,✖ Unequal
republic-of-the-congo,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,"✖ Legal, but banned for minors",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✖ Unequal
rwanda,✔ Legal,✖ Banned,✔ No censorship,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,Ambiguous,✖ Illegal,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
sao-tome-and-principe,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,"✖ Legal, but restricted for minors",✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
