   Saint Helena*,178,117,108,163,248,377,437,110,70,61,85,136,251,306,68,47,47,78,112,126,131
   Senegal,270 410,287 654,231 901,238 298,256 092,266 496,274 929,138 840,147 165,121 492,124 854,135 879,141 402,145 591,131 570,140 489,110 409,113 444,120 213,125 094,129 338
   Sierra Leone,222 148,98 516,97 974,146 227,79 265,58 830,53 746,122 898,55 937,54 184,76 709,43 622,33 077,30 408,99 250,42 579,43 790,69 518,35 643,25 753,23 338
   Togo,84 844,101 583,137 968,204 219,255 564,277 384,279 936,42 903,50 727,69 112,103 233,129 424,139 540,141 807,41 941,50 856,68 856,100 986,126 140,137 844,138 129
   Kazakhstan,3 619 200,3 251 968,2 874 194,3 103 027,3 334 937,3 546 060,3 732 073,1 666 164,1 497 455,1 323 580,1 472 820,1 625 155,1 757 828,1 850 097,1 953 036,1 754 513,1 550 614,1 630 207,1 709 782,1 788 232,1 881 976
   Kyrgyzstan,623 083,518 338,389 824,309 399,232 065,204 382,199 011,260 416,216 638,162 927,128 064,94 596,82 616,80 456,362 667,301 700,226 897,181 335,137 469,121 766,118 555
   Tajikistan,428 900,348 347,299 499,280 466,279 808,275 101,276 031,187 972,151 894,131 653,121 403,121 780,118 639,119 174,240 928,196 453,167 846,159 063,158 028,156 462,156 857
   Turkmenistan,306 500,273 565,219 067,213 053,197 979,196 376,194 920,134 174,132 122,102 810,101 214,90 634,91 531,92 357,172 326,141 443,116 257,111 839,107 345,104 845,102 563
   Uzbekistan,1 653 000,1 512 577,1 406 498,1 329 932,1 220 149,1 170 873,1 162 007,723 618,657 490,606 163,589 690,558 379,545 721,543 364,929 382,855 087,800 335,740 242,661 770,625 152,618 643
   China*,376 361,442 198,508 034,678 947,849 861,978 046,1 039 675,191 954,223 018,254 082,379 920,505 758,600 136,637 952,184 407,219 180,253 952,299 027,344 103,377 910,401 723
"   China, Hong Kong SAR*",2 218 473,2 443 798,2 669 122,2 721 235,2 779 950,2 841 113,2 962 492,1 124 544,1 175 087,1 225 629,1 185 121,1 147 539,1 120 982,1 107 970,1 093 929,1 268 711,1 443 493,1 536 114,1 632 411,1 720 131,1 854 522
"   China, Macao SAR*",205 047,224 929,240 791,279 308,318 506,376 066,403 490,96 379,103 660,109 391,130 387,146 407,174 589,187 321,108 668,121 269,131 400,148 921,172 099,201 477,216 169
