,1990,1995,2000,2005,2010,2015,2020
Saint Pierre and Miquelon,1 099,1 320,1 458,1 147,1 017,986,998
United States of America,23 251 026,28 451 053,34 814 053,39 258 293,44 183 643,48 178 877,50 632 836
Australia,3 955 213,4 153 330,4 386 250,4 878 030,5 882 980,6 729 730,7 685 860
New Zealand,518 047,588 617,678 813,839 952,947 443,1 039 736,1 381 724
Fiji,13 283,13 001,12 719,12 434,13 357,13 751,14 087
New Caledonia,37 673,43 662,49 651,55 405,61 158,68 881,73 141
Papua New Guinea,33 710,33 526,26 304,29 971,30 425,30 940,31 068
Solomon Islands,4 226,4 178,3 981,3 271,2 760,2 585,2 520
Vanuatu,2 308,2 461,2 626,2 800,2 991,3 186,3 257
Guam,69 755,71 912,74 070,74 743,75 416,76 089,80 472
Kiribati,2 162,2 223,2 283,2 487,2 868,2 919,3 126
Marshall Islands,1 158,1 480,1 891,2 417,3 089,3 284,3 298
Micronesia (Fed. States of),3 685,3 342,3 116,2 905,2 806,2 756,2 832
Nauru,2 815,2 605,2 394,2 253,906,1 833,2 201
Northern Mariana Islands,26 593,32 376,40 122,37 542,24 168,21 648,21 843
Palau,2 801,4 749,6 310,6 043,5 490,4 937,5 088
American Samoa,21 283,23 098,24 912,24 233,23 555,23 513,23 608
Cook Islands,2 587,2 686,2 785,3 277,3 769,4 168,4 579
French Polynesia,25 830,28 360,30 329,32 286,31 640,30 058,30 081
Niue,461,480,498,522,589,588,588
Samoa,3 357,4 694,5 998,5 746,5 122,4 255,4 021
Tokelau,360,506,712,1 003,1 128,1 185,1 238
Tonga,2 911,3 274,3 684,4 301,4 607,3 954,3 742
Tuvalu,318,263,218,209,220,230,239
Wallis and Futuna Islands,1 402,1 704,2 015,2 191,2 111,2 050,2 040
